Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-06-09	17:15:44	20.94	11.17	1.9809999999999999	1.001
2021-06-09	17:30:45	20.94	11.17	1.981	1.001
2021-06-09	17:45:46	20.94	11.17	1.9809999999999999	1.001
2021-06-09	18:00:48	20.94	11.17	1.981	1.001
2021-06-09	18:15:50	20.94	11.17	1.9809999999999999	1.001
2021-06-09	18:30:51	20.94	11.17	1.981	1.001
2021-06-09	18:45:52	20.94	11.17	1.9809999999999999	1.001
2021-06-09	19:00:53	20.94	11.17	1.981	1.001
2021-06-09	19:15:53	20.94	11.17	1.9809999999999999	1.001
2021-06-09	19:30:54	20.94	11.17	1.981	1.001
2021-06-09	19:45:55	20.94	11.17	1.9809999999999999	1.001
2021-06-09	20:00:56	20.94	11.17	1.981	1.001
2021-06-09	20:15:57	20.94	11.17	1.9809999999999999	1.199
2021-06-09	20:30:57	20.94	11.17	1.981	1.199
2021-06-09	20:46:00	20.94	11.17	1.9809999999999999	1.199
2021-06-09	21:00:01	20.94	11.17	1.981	1.199
2021-06-09	21:15:02	20.94	11.17	1.9809999999999999	1.4
2021-06-09	21:30:20	20.94	11.17	1.981	4.6
2021-06-09	21:45:23	20.94	11.17	1.9809999999999999	4.801
2021-06-09	22:00:27	20.94	11.17	1.981	4.801
2021-06-09	22:15:31	20.94	11.17	1.9809999999999999	4.801
2021-06-09	22:30:37	20.94	11.17	1.981	4.801
2021-06-09	22:45:41	20.94	11.17	1.9809999999999999	4.801
2021-06-09	23:00:46	20.94	11.17	1.981	4.801
2021-06-09	23:15:50	20.94	11.17	1.9809999999999999	4.801
2021-06-09	23:30:54	20.94	11.17	1.981	4.801
2021-06-09	23:45:59	20.94	11.17	1.9809999999999999	4.801
2021-06-10	00:00:04	20.94	11.17	1.981	4.801
2021-06-10	00:15:08	12.83	12.72	0.0	0.0
2021-06-10	00:30:11	12.83	12.72	0.0	0.0
2021-06-10	00:45:15	12.83	12.72	0.0	0.0
2021-06-10	01:00:19	12.83	12.72	0.0	0.0
2021-06-10	01:15:23	12.83	12.67	0.0	0.0
2021-06-10	01:30:27	12.83	12.56	0.0	0.0
2021-06-10	01:45:30	12.83	12.22	0.0	0.0
2021-06-10	02:00:36	12.83	12.11	0.0	0.0
2021-06-10	02:15:39	12.83	12.06	0.0	0.0
2021-06-10	02:30:44	12.83	12.0	0.0	0.0
2021-06-10	02:45:49	12.83	12.0	0.0	0.0
2021-06-10	03:00:53	12.83	12.0	0.0	0.0
2021-06-10	03:15:57	12.83	11.94	0.0	0.0
2021-06-10	03:30:03	12.83	11.94	0.0	0.0
2021-06-10	03:45:07	12.83	11.94	0.0	0.0
2021-06-10	04:00:11	12.83	11.94	0.0	0.0
2021-06-10	04:15:14	12.83	11.94	0.0	0.0
2021-06-10	04:30:18	12.83	11.94	0.0	0.0
